message,spamminess,term,word_total,spam_count,spam_auto,bigram_proportion,spam_bigrams
 asli,1,asli,1,0,0,0.0,
 buang waktu,0,,2,0,0,0.0,
 gimana uda emosi ls terus,0,,5,0,0,0.0,
 sekarang malam main epep,0,sekarang malam,4,1,0,25.0,ep
 yu still in the save zone my brother,0,the,8,0,0,0.0,
 awokawok,1,,1,1,1,100.0,"aw, ok, wo"
 momen sebelum dihina di chat,0,di,5,0,0,0.0,
 eh oky mabar yuk ,0,,4,0,0,0.0,
 nggak ah belum jago,0,,4,0,0,0.0,
 gpp oky aku juga baru naik epic bintang atu ,0,juga baru,9,0,0,0.0,
 wih user nana,0,,3,1,0,33.33333333333333,na
 user moskov balmond silivanna somtaims nana,0,,6,1,0,16.666666666666664,na
 wih user all lane,0,all,4,0,0,0.0,
 baru banget naik epic tadi siank,0,baru,6,0,0,0.0,
 mabar v,0,,2,0,0,0.0,
 boleh,0,boleh,1,0,0,0.0,
 drop uid,0,,2,0,0,0.0,
 tapi add dlu aja,0,aja,4,0,0,0.0,
 maksudnya id,0,,2,0,0,0.0,
 wtf v,1,,2,0,0,0.0,
 ok tunggu,0,ok,2,0,0,0.0,
 nanti gw polbek,0,nanti gw,3,0,0,0.0,
 dah,1,,1,0,0,0.0,
 dah gw folbek fr ,0,gw,4,0,0,0.0,
 nanti aja mabar ny,0,nanti aja,4,0,0,0.0,
 okok,0,,1,1,1,100.0,ok
 mau istirahat dlu,0,mau,3,0,0,0.0,
 malem,1,,1,0,0,0.0,
 https youtu be wawf zb o bokaro tonight,1,https youtu be,8,0,0,0.0,
 indahnya,1,,1,0,0,0.0,
 melihat player ml yg masih waras dan belum terkontaminasi mikirannya,0,yg dan,10,0,0,0.0,
 asa made zutto gyutte bagus gk banh ,0,,7,0,0,0.0,
 keknya banding jt deh ,0,,4,0,0,0.0,
 raging flame owner clue finishing move w blade sword,1,clue move,9,1,0,11.11111111111111,in
 nyata anjg dark sistem,0,,4,0,0,0.0,
 dari kemaren main musuhnya honor glory,0,dari,6,0,0,0.0,
 toretotet toretotet,1,,2,2,1,100.0,"to, et"
 infokan,1,,1,0,0,0.0,
 game pixel di mobile,0,di,4,0,0,0.0,
 totm pixelworld terraria ff minecraft pony town,0,,7,0,0,0.0,
 yg modelan kayak citampi stories adam,0,yg,6,0,0,0.0,
 guardian tales,0,,2,0,0,0.0,
 miaw,1,,1,0,0,0.0,
 anggota anggota ,1,anggota anggota,2,0,0,0.0,
 photon edge user clue finisher move,1,clue finisher move,6,0,0,0.0,
 anggota ml gl,0,anggota,3,0,0,0.0,
 g dlu lgi papji,0,,4,0,0,0.0,
 mar,0,,1,0,0,0.0,
 brp peluang ,0,,2,0,0,0.0,
 funny hole,1,,2,0,0,0.0,
 dk sadar dh majn sejam,0,,5,0,0,0.0,
 eiyoo apa nama gamenya,0,apa,4,0,0,0.0,
 astaga game halu wkwkwk ,0,,4,1,0,25.0,"wk, kw"
 emg aga lain,0,,3,0,0,0.0,
 tapi seru,0,,2,0,0,0.0,
 pernah sampe kawin gw ,0,gw,4,0,0,0.0,
 tapi bagus game nya ,0,nya,4,0,0,0.0,
 game apa nih,0,apa,3,0,0,0.0,
 citampi ,0,,1,0,0,0.0,
 we re winnin bros,1,,4,1,0,25.0,in
 beneran pindah agensi,0,,3,0,0,0.0,
 anggota anggota tsm ga ,0,anggota anggota ga,4,0,0,0.0,
 jir apaan tu,0,,3,0,0,0.0,
 jelas jelas di ruang ganti coser,0,di,6,0,0,0.0,
 oalahh mff gk apal bg,0,,5,0,0,0.0,
 hooh,1,hooh,1,0,0,0.0,
 pantes mirip beruk,1,,3,0,0,0.0,
 https www youtube com live dnmi jrtkuk feature share graduate anying,1,https,11,1,0,9.090909090909092,ww
 https youtu be sxr f l vocaboomer rise up go listen to this,1,https youtu be,13,0,0,0.0,
 anggota ,1,anggota,1,0,0,0.0,
 info yang jual akun gi kak,0,yang,6,0,0,0.0,
 ig,1,,1,0,0,0.0,
 ooomaga,1,,1,1,1,100.0,oo
 their voices blend so well,0,,5,0,0,0.0,
 owh iya,1,,2,0,0,0.0,
 udh tanggal ,0,udh,2,0,0,0.0,
 r hat sebulan doang cenah ,0,,5,0,0,0.0,
 kek nya,1,nya,2,0,0,0.0,
 really good,0,,2,0,0,0.0,
 wangi lalapan ,0,,2,1,1,50.0,la
 gk juga,0,juga,2,0,0,0.0,
 jadinya kayak nasi bakar,0,,4,0,0,0.0,
 ayamny nasi bakar kek ayamnya lemper,0,,6,1,0,16.666666666666664,ya
 rasanya,1,,1,0,0,0.0,
 aruji dongo,1,,2,0,0,0.0,
 null,1,null,1,0,0,0.0,
 sauce,1,,1,0,0,0.0,
 deket panggung,0,,2,1,1,50.0,ng
 testi ig kebanyakan fek,0,,4,1,0,25.0,an
 bukan,0,,1,0,0,0.0,
 kan udh dibilang di channel ke nya,0,udh di ke nya,7,0,0,0.0,
 live penting,0,,2,0,0,0.0,
 no sos,1,,2,0,0,0.0,
 awas ada yang ilang,0,ada yang,4,0,0,0.0,
 mamah aku pengen itu ,0,itu,4,2,1,50.0,"en, ma"
 sumpah jgn kalo gmau ada yg pecah,0,kalo ada yg,7,0,0,0.0,
 p,1,,1,0,0,0.0,
 lag banget,0,,2,0,0,0.0,
 p,1,,1,0,0,0.0,
 p,1,,1,0,0,0.0,
 a,1,,1,0,0,0.0,
 n,1,,1,0,0,0.0,
 t,1,,1,0,0,0.0,
 e,1,,1,0,0,0.0,
 k,1,,1,0,0,0.0,
 agus,0,,1,0,0,0.0,
 halo fuh cahyo,0,,3,0,0,0.0,
 halo fuh,0,,2,0,0,0.0,
 cahyo,0,,1,0,0,0.0,
 iya,0,,1,0,0,0.0,
 dua dr kiri idol musical kanannya hasunosora,0,,7,1,0,14.285714285714285,an
 iyh,0,,1,0,0,0.0,
 gada di anime yah ,0,di,4,0,0,0.0,
 bang nilai skl gw yang paling tinggi kok agama ,0,bang gw yang,9,0,0,0.0,
 loh,0,,1,0,0,0.0,
 aowkwkw,1,,1,1,1,100.0,"wk, kw"
 ingfo kan source fanart,0,,4,0,0,0.0,
 belum,0,,1,0,0,0.0,
 buset awowkwk,1,buset,2,1,1,50.0,wk
 jdi dimana mereka muncul ,0,,4,0,0,0.0,
 hasunosiora itu vtuber nya love live,0,itu nya,6,0,0,0.0,
 ada channek youtube nya bisa mampir kalau mau,0,ada nya bisa mau,8,0,0,0.0,
 sankyu banget coy terima kasih banyak,0,banyak,6,0,0,0.0,
 klo yang musical ,0,yang,3,0,0,0.0,
 kurang tau saya,0,,3,0,0,0.0,
 jdi cuma vtuber gada cerita nya ,0,nya,6,0,0,0.0,
 cuma ada pernah livestream di channel resmi nya,0,ada di nya,8,0,0,0.0,
 hmm ada sih kaya bikin cerita keseharian,0,ada sih,7,0,0,0.0,
 cuma cerita selingan,0,,3,0,0,0.0,
 gada story utama gitu ya,0,ya,5,0,0,0.0,
 belum mungkin,0,,2,0,0,0.0,
 karena ada kemungkinan diadaptasi jadi anime,0,ada,6,0,0,0.0,
 paling cerita utama nya dimulai dari sana,0,nya dari,7,0,0,0.0,
 wutduhel,1,,1,0,0,0.0,
 anggota anggota hilihhh ez ,0,anggota anggota,4,1,0,25.0,hh
 dapet yg ez koe ,0,yg,4,0,0,0.0,
 bkn mudah lg w sebangku sm cewe pinter itung an w mah tinggal nyonto ,0,,14,0,0,0.0,
 buset,1,buset,1,0,0,0.0,
 kertas buram w cm setengah doang dia bolak balik full ,0,,10,0,0,0.0,
 gila g tuh,1,,3,0,0,0.0,
 njer,1,,1,0,0,0.0,
 syukuran sebangku wkwk,0,,3,1,0,33.33333333333333,wk
 gmn lega ,0,,2,0,0,0.0,
 g bikin gugup sm sekali sumpah enk bett,0,,8,1,0,12.5,gu
 iya dah,1,,2,0,0,0.0,
 syukuran dh kelarr semua,1,semua,4,0,0,0.0,
 malam puh,0,malam,2,0,0,0.0,
 malam hu,1,malam,2,0,0,0.0,
 malah h,1,,2,0,0,0.0,
 sial typo,0,,2,0,0,0.0,
 malam h,0,malam,2,0,0,0.0,
 selamat malam kuru kuru,0,selamat malam,4,0,0,0.0,
 bagaimana kehidupan,0,bagaimana,2,0,0,0.0,
 gitu aja tp seenganya dikirimin makanan,0,aja,6,1,0,16.666666666666664,an
 gk ada perkembangan entahlah harus ngelakuin apa gw biar ngerasa bahagia,0,ada apa gw bahagia,11,2,0,18.181818181818183,"an, ah"
 lapangin hati biar standar bahagianya nurun wkwkwk,0,,7,1,0,14.285714285714285,"wk, kw"
 resiko makin gede,0,makin,3,0,0,0.0,
 baiklah saya usahakan,0,,3,0,0,0.0,
 alhamdulillah,0,,1,0,0,0.0,
 nguli solusinya,0,,2,0,0,0.0,
 nguli ape lagi,0,lagi,3,0,0,0.0,
 nguli kebaikan,0,,2,0,0,0.0,
 suhu,1,,1,0,0,0.0,
 besok gw buka cuy giveaway nya,0,gw nya,6,0,0,0.0,
 eh tgl aja deh,0,aja,4,0,0,0.0,
 ditunggu bang,0,bang,2,0,0,0.0,
 okee,1,,1,0,0,0.0,
 anggota anggota anggota efek nahan ke toilet hampir jam nyampe rmh disiksa ni perut,0,anggota anggota anggota ke jam,14,0,0,0.0,
 buset,1,buset,1,0,0,0.0,
 daritadi blm bab lu,1,,4,0,0,0.0,
 bak banh tp gara nahan bak itu jd bab jg,0,itu,10,0,0,0.0,
 disuruh ke toilet awalnya tp w kgk soalnya w g minum apa lah dpt mnt stlh nalar umum fakkk ,0,ke apa,19,2,0,10.526315789473683,"kk, um"
 saya sih mual mana ac dingin nya nak matek ,0,sih nya,9,1,0,11.11111111111111,in
 akwkawok g minta dikecilin ,0,,4,0,0,0.0,
 ga bisa coy pengawasnya sendri bilang ini ruangan emg aga beda jadi tolong dibiasakan ,0,ga bisa ini,14,1,0,7.142857142857142,an
 oalah kirain bab,0,,3,0,0,0.0,
 bohh akwkakwk pengawas nya w malah tidur njir ngorok sumpahh anggota ,0,nya anggota,11,1,0,9.090909090909092,"wk, kw, ak"
 mana samping cwe mana tahan,0,,5,0,0,0.0,
 pengawas gw malah main emel njir ,0,gw,6,0,0,0.0,
 elitee pasti pro,1,,3,0,0,0.0,
 ajak mabar siapa tau dapet kunjaw wkwkwk,0,,7,1,0,14.285714285714285,"wk, kw"
 coeg awowkwk,1,,2,1,1,50.0,wk
 soalnya pas gw keluar gw denger gini dari salah satu pengawas duh martisnya goblok ,0,gw gw dari,14,0,0,0.0,
 keluarin bang skalian ma dosa nya,0,bang nya,6,0,0,0.0,
 njir ruangan rasing,0,,3,1,0,33.33333333333333,an
 kaget w mana meja depan lg,0,,6,0,0,0.0,
 wadddddo,1,,1,1,1,100.0,dd
 udah,1,,1,0,0,0.0,
 gokil,1,,1,0,0,0.0,
 dibiarin sendiri ruangannya,0,,3,1,0,33.33333333333333,an
 walahh,1,,1,0,0,0.0,
 woi gw segitu kebelet kencing mulu weh ,1,gw,7,0,0,0.0,
 gua skali untungnya yg lain pada keluar masuk ruangan pengawasnya aj ampe x,0,yg pada,13,2,0,15.384615384615385,"un, an"
 njir gk bisa dinaikin suhu nya ,0,bisa nya,6,1,0,16.666666666666664,in
 gila boleh keluar masuk ruangan,0,boleh,5,1,0,20.0,an
 pengawasnya sih yg ga mau,0,sih yg ga mau,5,0,0,0.0,
 ada org lah kurleb yg kluar masuk,0,ada org yg,7,0,0,0.0,
 puh numpang tanya kan gue mau download love live sunshine season nah yang p itu kok link nya kaya rusak ya di kusonime com,0,mau yang itu nya ya di,24,0,0,0.0,
 saran dong donwload love live yang lengkap di mana,0,yang di,9,0,0,0.0,
 coba drivenime bang,0,bang,3,0,0,0.0,
 dulu gw sering ke situ gk tau sekarang masih aktif apa enggk,0,gw ke sekarang apa,12,0,0,0.0,
 di otakudssu lol aja,0,di aja,4,0,0,0.0,
 otakudesu,0,,1,0,0,0.0,
 jgn yg sakit mata,0,yg sakit,4,0,0,0.0,
 w bisa aja,1,bisa aja,3,0,0,0.0,
 awokwokwok ,1,,1,1,1,100.0,"kw, ok, wo"
 kuota sisa gb doang puh,0,,5,0,0,0.0,
 iya betul p atau p,0,,5,0,0,0.0,
 otakudesu nimegami wibusubs moenime dll,0,,5,0,0,0.0,
 kusonime iklan segede gaban njir,0,,5,0,0,0.0,
 p udh minimal banget sih,0,udh sih,5,0,0,0.0,
 iyakah iklannya iklan slot ,0,,4,0,0,0.0,
 iya,0,,1,0,0,0.0,
 nyebelin,0,,1,0,0,0.0,
 tombol x kecil kek titid titan,0,,6,1,0,16.666666666666664,ti
 njirr perasaan dulu iklannya belum iklan slot,0,,7,0,0,0.0,
 dah lama gk ngecek web download batch,0,,7,0,0,0.0,
 klo kepencet ngebuka pop up,0,,5,0,0,0.0,
 true,1,,1,0,0,0.0,
 nyasar ke web lain,1,ke,4,0,0,0.0,
 adakah yang gak beriklan ,0,yang,4,0,0,0.0,
 keknya susah kalo bajakan wkwk,0,kalo,5,1,0,20.0,wk
 gaada sih kayanya ,0,sih,3,1,0,33.33333333333333,ya
 msih butuh kah linknya ,0,,4,0,0,0.0,
 link apa ,0,apa,2,0,0,0.0,
 bkp,0,,1,0,0,0.0,
 njer,1,,1,0,0,0.0,
 coba dong puh yang punya link bd love live sunshine season kirim sini pengen ngebatch,0,yang,15,1,0,6.666666666666667,en
 ll sansain,0,,2,1,1,50.0,sa
 https drive google com uc export download id dyzg j pehvzvd w pqsvqmyt cvh ,0,https,14,0,0,0.0,
 pagy,1,,1,0,0,0.0,
 nih coba,0,,2,0,0,0.0,
 jangan yang kusonime puh,0,yang,4,1,0,25.0,an
 kalau dari kusonime kadang suka berhenti sendiri download nya,0,dari nya,9,0,0,0.0,
 ngabisin kuota doang,0,,3,0,0,0.0,
 bisa pakai wifi pula,0,bisa,4,0,0,0.0,
 coba download video ukuran hd saja,0,,6,0,0,0.0,
 itu yang superstar ,0,itu yang,3,0,0,0.0,
 wah ukuran file besar sekali,0,,5,0,0,0.0,
 yoi bro,1,bro,2,0,0,0.0,
 ingpo dong mana tau ada sunshine s ,0,ada,7,0,0,0.0,
 download di mana tu yang superstar ,0,di yang,6,0,0,0.0,
 gara gara new member aowowoow,0,,5,1,0,20.0,"ow, wo"
 hehe,1,,1,1,1,100.0,he
 jangan ngehalu terus puh gak bagus ,0,,6,1,0,16.666666666666664,an
 nimegami,1,,1,0,0,0.0,
 tolong bagikan linknya selain lagi dari love live saja,0,lagi dari,9,0,0,0.0,
 klo donlod jangan dikeluarin dri apknya w aj suka ngulang,0,,10,2,0,20.0,"an, ng"
 anggota bang butuh copium,0,anggota bang,4,0,0,0.0,
 kenapa bang ,0,bang,2,0,0,0.0,
 aku capek main slide slide di game fps,0,di,8,0,0,0.0,
 main game santai bang,0,bang,4,0,0,0.0,
 tp enk sih banh dia ngorok w lgsg ilang ngantuknya,0,sih,10,0,0,0.0,
 kayak minecraft,0,,2,0,0,0.0,
 otakku panas tapi hatiku ingin mengejarnya,0,,6,1,0,16.666666666666664,in
 mana tadi ketemu ama mantan,0,ama,5,1,0,20.0,an
 noooooo,0,,1,1,1,100.0,oo
 udh bang dia udh menjadi mantan,0,udh bang udh,6,1,0,16.666666666666664,an
 bukan tanggung jawab kita lagi,0,kita lagi,5,1,0,20.0,ng
 pegangan tangan ama si dia,0,ama,5,2,0,40.0,"an, ga"
 malam,0,malam,1,0,0,0.0,
 ripqi,1,,1,0,0,0.0,
 njor pesan beberapa hari lalu,0,,5,1,0,20.0,be
 bjir,1,,1,0,0,0.0,
 belum tau sih gw bakal dateng ke epen di kotanya dia apa enggk,0,sih gw ke di apa,13,0,0,0.0,
 merasa jadi badut,0,,3,0,0,0.0,
 padahal emang badut,0,,3,0,0,0.0,
 apk,1,,1,0,0,0.0,
 nachan,1,,1,0,0,0.0,
 yuriko,1,,1,0,0,0.0,
 eh bener gk,0,,3,0,0,0.0,
 ingyh,0,,1,0,0,0.0,
 bang udh bang,0,bang udh bang,3,0,0,0.0,
 kalo ngehalu ditusuk you bagaimana ,0,kalo bagaimana,5,0,0,0.0,
 info info,1,,2,0,0,0.0,
 hadeh,1,hadeh,1,0,0,0.0,
 anggota anggota anggota mantap cuy purnawiyata kacau h ganti outfit ,0,anggota anggota anggota,10,0,0,0.0,
 mainnya hebat,0,,2,0,0,0.0,
 wkwkwkw,1,,1,1,1,100.0,"wk, kw"
 ditusuk piso karena liat you nusuk riko ,0,,7,0,0,0.0,
 dafuq tiba ganti gitu ,0,,4,0,0,0.0,
 keren cuy bikin acara sendiri biar bisa pacaran,0,bisa,8,0,0,0.0,
 yoi outfit ganti dan jam ganti,0,dan jam,6,0,0,0.0,
 panitia gaberes ini ,0,ini,3,0,0,0.0,
 panitia nya siswa sendiri cuy makanya ruwet,0,nya,7,0,0,0.0,
 mending ruby,0,,2,0,0,0.0,
 loli pemalu ansos mungil kesukaan ku ,0,,6,0,0,0.0,
 keren,1,,1,0,0,0.0,
 awas ada kakanya yg waspada sama kamu ,0,ada yg,7,1,0,14.285714285714285,ka
 anggota oy rip lu rumah nya di jakarta g sih,0,anggota nya di sih,10,0,0,0.0,
 ad yang sekitar jakarta gk rumahny,0,yang,6,0,0,0.0,
 gwa,0,,1,0,0,0.0,
 tapi jauhan,0,,2,0,0,0.0,
 soalnya gw kabupaten,0,gw,3,0,0,0.0,
 ripki bandung,0,,2,0,0,0.0,
 owlah,1,,1,0,0,0.0,
 mana emg,0,,2,0,0,0.0,
 kabupaten bekasi,0,,2,0,0,0.0,
 buset bekasi g tuh coba sherlok,0,buset,6,0,0,0.0,
 jauh banh,0,,2,0,0,0.0,
 padahal pengwn ketemu lu,0,,4,0,0,0.0,
 mau ngapain om ,0,mau,3,0,0,0.0,
 gw sepomg tutorin main gt luwh,0,gw,6,0,0,0.0,
 waduh,1,,1,0,0,0.0,
 waduh saya skip ini,0,ini,4,0,0,0.0,
 besok saya mau ikut malah diajakin ortu kemana,0,mau,8,0,0,0.0,
 wduh,1,,1,0,0,0.0,
 cikarang tau ga bang ,0,ga bang,4,0,0,0.0,
 nah saya disitu,0,,3,0,0,0.0,
 dia vekael disitu bang,0,bang,4,0,0,0.0,
 oalah,1,,1,0,0,0.0,
 iya aku juga di cikarang rek,0,juga di,6,0,0,0.0,
 oalah rek,1,,2,0,0,0.0,
 lucu rek mas nya,0,nya,4,0,0,0.0,
 anggota gmn ituu kok malah ,0,anggota,5,0,0,0.0,
 iya cuy stres,0,,3,0,0,0.0,
 katanya pake trio biar lbh dpt chemistry nya,0,nya,8,0,0,0.0,
 selamat pagi member yg berbahagia meskipun ndak,0,selamat pagi yg,7,0,0,0.0,
 geser dikit,0,,2,0,0,0.0,
 zeys biru sejati,0,,3,0,0,0.0,
 anggota yg pulau ribet bener,0,anggota yg,5,0,0,0.0,
 nyusun pulau,0,,2,0,0,0.0,
 rill cuy saya aja ga saya kerjain,0,aja ga,7,0,0,0.0,
 kalo tu pulau gak dikerjain tetep bisa full ga poin,0,kalo bisa ga,10,1,0,10.0,te
 ndak tawu dah,0,,3,0,0,0.0,
 malas,1,,1,0,0,0.0,
 wduh,1,,1,0,0,0.0,
 anggota ,1,anggota,1,0,0,0.0,
 alo,1,,1,0,0,0.0,
 np tiamat,0,,2,0,0,0.0,
 cih,0,,1,0,0,0.0,
 sif gw kok error abis tutorial,0,gw,6,0,0,0.0,
 ngunduh lg it harus e,0,,5,0,0,0.0,
 slmt mlm wrg llc,0,,4,0,0,0.0,
 anggota beb infokan code lagi nanti genshin,0,anggota lagi nanti,7,0,0,0.0,
 cuy yang nonton livestream genshin,0,yang,5,1,0,20.0,on
 malas menonton,0,,2,1,1,50.0,on
 tapi nanti klo ada kode gw bagi,0,nanti ada gw,7,0,0,0.0,
 code saja,0,,2,0,0,0.0,
 hooh,1,hooh,1,0,0,0.0,
 berapa hari lagi cuy,0,berapa lagi,4,0,0,0.0,
 anggota anggota anggota the sims gratis cuy di epig games,0,anggota anggota anggota the gratis di,10,0,0,0.0,
 base gamenya emang gratis bang itu dlc nya,0,gratis bang itu nya,8,0,0,0.0,
 langsung gas aja lah,0,langsung aja,4,1,0,25.0,ng
 lesgo akhirnya bisa punya sims akhirnya aku bisa bikin route romance,0,bisa bisa,11,0,0,0.0,
 dokoda,1,,1,0,0,0.0,
 hari,0,,1,0,0,0.0,
 mwalam guys kururing,0,,3,1,0,33.33333333333333,ur
 adakah ingfo,0,,2,0,0,0.0,
 ingfo apah,0,,2,0,0,0.0,
 ingfo kehidupan,0,,2,0,0,0.0,
 besok masih ,0,,2,0,0,0.0,
 easy skip,0,,2,0,0,0.0,
 terakhir,0,,1,0,0,0.0,
 seperti biasa malming sendiri lagi,0,lagi,5,0,0,0.0,
 info di terima,0,di,3,0,0,0.0,
 easy skip,0,,2,0,0,0.0,
 besok terakhir ,0,,2,0,0,0.0,
 maaf kazuha hatiku sudah di focalors,0,di,6,0,0,0.0,
 hsr dulu gk sih,0,sih,4,0,0,0.0,
 setidaknya tidak menjadi badut malam ini,0,tidak malam ini,6,0,0,0.0,
 anggota anggota anggota waduh kok charlotte kani,0,anggota anggota anggota,7,0,0,0.0,
 charlotte saha,0,,2,0,0,0.0,
 bingung amvil siapa,0,,3,1,0,33.33333333333333,ng
 bentar,0,,1,0,0,0.0,
 info,0,,1,0,0,0.0,
 syukuran,0,,1,0,0,0.0,
 bener sih,0,sih,2,0,0,0.0,
 ingfo diterima,0,,2,0,0,0.0,
 terimakasih,0,,1,0,0,0.0,
 uooh,1,,1,0,0,0.0,
 cenuyy,1,,1,0,0,0.0,
 saha cuy ini,0,ini,3,0,0,0.0,
 charlotte,0,,1,0,0,0.0,
 asta nya genshin,0,nya,3,0,0,0.0,
 hydro ,0,,1,0,0,0.0,
 blm tau,0,,2,0,0,0.0,
 gw gk nonton livestream,0,gw,4,1,0,25.0,on
 srkfq ysmvv a w jzblch xt f jzs tr dapat dari dc ga tawu bener atau enggak,0,dari ga,17,0,0,0.0,
 xt f jzs tr,0,,4,0,0,0.0,
 srkfq ysmvv,0,,2,0,0,0.0,
 a w jzblch,0,,3,0,0,0.0,
 noh,0,,1,0,0,0.0,
 dandi,0,,1,0,0,0.0,
 briang,0,,1,0,0,0.0,
 dc,1,,1,0,0,0.0,
 sama,0,,1,0,0,0.0,
 impian ada ditengah peluh,0,ada,4,0,0,0.0,
 bagai bunga yang mekar secara perlahan,0,yang,6,0,0,0.0,
 usaha kerat itu tak akan mengkhianati,0,itu akan,6,0,0,0.0,
 impian ada di tengah peluh,0,ada di,5,0,0,0.0,
 selalu menunggu agar ia menguncup,0,selalu,5,0,0,0.0,
 suatu hari pasti sampai harapan terwujud,0,,6,0,0,0.0,
 scam cuk,0,,2,0,0,0.0,
 saya udh di dc,0,udh di,4,0,0,0.0,
 otw,0,,1,0,0,0.0,
 afaan tuh ,0,,2,0,0,0.0,
 waduh gus sekarang bener bener jarang ada waktu buat buka pc ,0,sekarang ada,11,0,0,0.0,
 sibuk mas,0,,2,0,0,0.0,
 udah kerja mas dari pertengahan bulan puasa kemarin jadi cook helper sama kitchen crew di restoran chinese training seminggu di kontrak bulan,0,dari di di,22,1,0,4.545454545454546,in
 gokil mas kapan traktiran kalo dah sukses mas,0,kalo sukses,8,1,0,12.5,ra
 klem aja mas,0,aja,3,0,0,0.0,
 otw kazuha,0,,2,0,0,0.0,
 redeem code ga fpd sj v xt f jzs tr a w jzblch,0,ga,13,0,0,0.0,
 tq,0,,1,0,0,0.0,
 waduh,1,,1,0,0,0.0,
 siang semua bararasket yukkkk biar badan sehat hahhaa ama ko wansen mana nih udh lama ga keliatan ,0,siang semua sehat ama ko udh ga,17,3,0,17.647058823529413,"kk, ra, ar, ha"
 haha hapunten pisan teu tiasa abdi nuju di balikpapan minggu hareup boss,0,di,12,2,0,16.666666666666664,"ha, pa"
 ijin anak bawa temennya org yah ,0,anak org,6,0,0,0.0,
 bawa yg banyak ko ,1,yg banyak ko,4,0,0,0.0,
 online we ulinna bro wkwkwk ,1,bro,5,1,0,20.0,"wk, kw"
 hahaha,1,,1,1,1,100.0,"ha, ah"
 gw landing langsung basket kitu pau wakakaka,0,gw langsung basket,7,2,0,28.57142857142857,"ak, ng, ka"
 tah sok kitu we hehehe,1,,5,1,0,20.0,"he, eh"
 punten bos paulus ijin dulu basket na lagi nganter tamu kesana sini ,1,basket lagi,12,0,0,0.0,
 hehehe siap ko,1,siap ko,3,1,0,33.33333333333333,"he, eh"
 sorry sy absen hr ini ,1,sy absen ini,5,0,0,0.0,
 teman ntr malem basket ya ,0,teman ntr basket ya,5,0,0,0.0,
 beni,0,,1,0,0,0.0,
 paulus sy absen ya ,1,sy absen ya,4,0,0,0.0,
 knp ko udh lama ga maen kan hehehe pasteur udh minggu terakhir ini bebas macet ko,0,ko udh ga udh ini ko,16,1,0,6.25,"he, eh"
 hayu geus cageur koh ,1,,4,0,0,0.0,
 ko mah maenannya skr d groove,1,ko,6,0,0,0.0,
 ko mah tinggal jalan pau gakan kena macet ,1,ko,8,0,0,0.0,
 bmkg gempa magnitudo berpusat di banten tak berpotensi tsunami http kom ps afyoil,0,di,13,0,0,0.0,
 masih anter tamu euy minggu depan siap,1,siap,7,0,0,0.0,
 ok siap ko ko gunawan mana nih ,0,ok siap ko ko,7,0,0,0.0,
 saya sama teddy spt biasa nyusul hehehe,1,,7,1,0,14.285714285714285,"he, eh"
 austin bawa ,0,,2,0,0,0.0,
 milu lah geus tatanya wae kapan basket,1,basket,7,1,0,14.285714285714285,ta
 wkwkwk si austin lebih semangat basket drpd bapaknya,1,lebih basket,8,1,0,12.5,"wk, kw"
 hahaha kmrn waktu gw ke balikpapan ge nanya papi basketnya di balikapapan sekarang wkwkwkwk,0,gw ke di sekarang,14,4,0,28.57142857142857,"ha, kw, pa, ap, ah, wk"
 diusahain main,1,,2,0,0,0.0,
 maksud na austin teh basket di balikpapan tripleks ato triblok ,0,basket di,10,1,0,10.0,pa
 sori sy sering absen basket ,1,sori sy absen basket,5,0,0,0.0,
 hayu sore ini ateuh ,1,ini,4,0,0,0.0,
 happy b day all d best bro gbu n fam ,0,happy all best bro gbu,10,0,0,0.0,
 weeee kepala suku euy hbd ko wuatb,0,ko,7,1,0,14.285714285714285,ee
 happy birthday ko kian ming gbu always ,0,happy birthday ko gbu,7,0,0,0.0,
 happy birthday ko kian ming semoga panjang umur sehat dan sukses gbu,0,happy birthday ko semoga panjang umur sehat dan sukses gbu,12,1,0,8.333333333333332,an
 ko h a p p y b i r t h d a y wish all d best gbu ,0,ko wish all best gbu,19,0,0,0.0,
 thanks bro,1,thanks bro,2,0,0,0.0,
 happy birthday ko kian ming gbu ,0,happy birthday ko gbu,6,0,0,0.0,
 thanks pa,1,thanks,2,0,0,0.0,
 happy birthday ko kian ming wish u all the bestgbu ,0,happy birthday ko wish all the,10,0,0,0.0,
 happy birthday ko kian ming gbu ,0,happy birthday ko gbu,6,0,0,0.0,
 thank you bro,1,bro,3,0,0,0.0,
 happy birthday ko kian ming gbu ,0,happy birthday ko gbu,6,0,0,0.0,
 thankd,1,,1,0,0,0.0,
 hbd ko kianming gbu,0,ko gbu,4,0,0,0.0,
 thanks,1,thanks,1,0,0,0.0,
 https oto detik com mobil d honda indonesia recall mobilio brio jazz hr v dan br vhonda me recall mobilio brio jazz hr v dan br v komponen master cylinder dan master power pada sistem pengereman mobil mobil itu diperiksa dan diganti ,0,https mobil dan dan dan pada mobil mobil itu dan,42,0,0,0.0,
 teman hari ini dan minggu depan saya ga bisa basket buat teman yg mau basket jadwal seperti biasa ya jam di lapangan tm ,0,teman ini dan ga bisa basket teman yg mau basket ya jam di,23,1,0,4.3478260869565215,an
 sy ijin hr ini yah ,1,sy ini,5,0,0,0.0,
 waduh dua personil ga ada,1,ga ada,5,0,0,0.0,
